observed_on,domain_age_days,gsc_window_end,gsc_latest_date,gsc_lag_days,impressions_cumulative,clicks_cumulative,ctr,avg_position,disclosed_query_count,undisclosed_impressions,on_topic_query_count,adjacent_query_count,irrelevant_query_count,secure_ai_impressions,secure_ai_clicks,document_production_impressions,document_production_clicks,systems_integration_impressions,systems_integration_clicks,internal_tools_impressions,internal_tools_clicks,institutional_knowledge_impressions,institutional_knowledge_clicks,ai_governance_impressions,ai_governance_clicks,blog_impressions,blog_clicks,sitewide_impressions,sitewide_clicks,countries_with_impressions,mobile_impressions,mobile_clicks,mobile_position,desktop_impressions,desktop_clicks,desktop_position,mobile_desktop_position_gap,mobile_impression_share,indexed_pages,serp_top_3,serp_top_10,serp_top_20,serp_measured,discovery_set_version,discovery_measured,discovery_top_20,discovery_top_10,search_referred_cumulative,google_referred_cumulative,bing_referred_cumulative,other_search_cumulative,direct_cumulative,other_referral_cumulative,internal_cumulative,search_referred_mobile,search_referred_countries,human_pageloads_cumulative,bot_pageloads_cumulative,feedback_genuine_cumulative,technical_issues,sources_ok
2026-08-17,57,2026-08-15,2026-08-15,2,644,19,0.0300,9.8,10,497,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,269,14,0,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,65,technical internal_links structured_data vercel search_console
2026-08-19,59,2026-08-17,2026-08-17,2,518,17,0.0330,9.3,10,367,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,227,9,0,,,,,,,,,36,4,6,6,48,2,6,0,0,,,,,,,,,,,,,20,technical internal_links structured_data vercel search_console serp_probe serp_discovery
